Item,Descrição,Embalagem,TIPO
7506,LASANHA BOLONHESA ALVORADA CONG. - 600g,,PRODUTO
7510,LASANHA FRANGO ALVORADA CONG. 600G  - 600g,,PRODUTO
7513,LASANHA QUATRO QUEIJO ALVORADA CONG - 600g,,PRODUTO
259139,LOMBO ASSADO ALVORADA CONG. UN - 450g,,PRODUTO
7776,MEDALHAO DE FRANGO ALVORADA CONG. - 300g,,PRODUTO
2836,PAPPARDELLE C/ALMONDEGA ALVORADA CONG. - 600g,,PRODUTO
1920,PARMEGIANA DE FRANGO CONG. ALVORADA  - 400g,,PRODUTO
259140,PERNIL ASSADO ALVORADA CONG UN - 450g,,PRODUTO
7636,PIZZA CALABRESA ALVORADA CONG.500G - 500g,,PRODUTO
7645,PIZZA DA CASA ALVORADA CONG 500G - 500g,,PRODUTO
7637,PIZZA FRANGO C/REQUEIJAO ALVO CONG 500G - 500g,,PRODUTO
7639,PIZZA PRESUNTO E QUEIJO CONG. ALVORADA - 500g,,PRODUTO
7822,STROGONOFF DE CARNE ALVORADA CONG. - 600g,,PRODUTO
7926,STROGONOFF DE CARNE E ARROZ CONG. 450G - 450g,,PRODUTO
7824,STROGONOFF DE FRANGO ALVORADA CONG. 600G - 600g,,PRODUTO
7927,STROGONOFF DE FRANGO E ARROZ CONG. 450G - 450g,,PRODUTO
1933,GELO EM CUBOS / TRITURADO ALVORADA 3 KG - 3kg,,PRODUTO
2379,"GELO EM CUBOS /TRITURADO ALVORADA 1,5 KG - 1,5kg",,PRODUTO
66394,GELO EM CUBOS AKY - 3kg,,PRODUTO
220610,GELO EM CUBOS AKY 3KG - 3kg,,PRODUTO
4535,COLOMBA PASCAL C/FRUTAS CRISTALIZADAS UN - 550g,,PRODUTO
4534,COLOMBA PASCAL C/GOTAS DE CHOCOLATE UN  - 550g,,PRODUTO
2449,PANETTONE ALVORADA 100G   - 100g,,PRODUTO
2119,PANETTONE ALVORADA 900G UN - 900g,,PRODUTO
2253,PANETTONE ALVORADA CX - 400g,,PRODUTO
7098,PANETTONE ALVORADA UN 400G - 400g,,PRODUTO
2454,PANETTONE C/GOTAS DE CHOC. ALVORADA 80G - 80g,,PRODUTO
2286,PANETTONE C/GOTAS DE CHOC. ALVORADA CX - 400g,,PRODUTO
8134,PANETTONE C/GOTAS DE CHOC. ALVORADA UN - 400g,,PRODUTO
1942,ROSCATTONE GOTAS DE CHOCOLATE UN - 350g,,PRODUTO
8156,TRUFADO DE CREME BUENO - 600g,,PRODUTO
8152,TRUFADO DE CREME DE AVELA - 600g,,PRODUTO
2580,BISCOITAO C/QUEIJO KG - 1,,PRODUTO
